NIF empresa,Nº de orden,Nombre empresa,Teléfono gratuito incidencias,Portal de medidas
B15494198,R1-074,ELECTRICA DE CABAÑAS,900 373 976,https://electricabanas.cide.net/clientes/pvpc
B18352203,R1-088,ELECTRICA DE CANILES,900 850 840,https://electricadecaniles.cide.net/clientes/pvpc
B53266821,R1-111,AURORA GINER REIG S.L.,900 373 674,https://auroraginerreig.cide.net/clientes/pvpc
B23379464,R1-113,ELECTRA SIERRA MAGINA S.L.,900 373 968,https://electrasierramagina.cide.net/clientes/pvpc
B04297966,R1-126,ELECTRICIDAD HIJATE S.L.,900 373 932,https://electricidadhijate.cide.net/clientes/pvpc
B06230809,R1-140,DISTRIBUIDORA ELECTRICA CARRION S.L.,900 818 486,https://distribuidoraelectricacarrion.cide.net/clientes/pvpc
B11000759,R1-201,ELECTRICA NRA SRA DE LOS SANTOS SL,900 37 36 71,https://elecsantos.cide.net/clientes/pvpc
B14048516,R1-243,HIDROELÉCTRICA EL CERRAJÓN S.L.,900 373 957,https://elcerrajon.cide.net/clientes/pvpc
B27249911,R1-244,"HIDROELÉCTRICA JOSÉ MATANZA GARCÍA, S.L.",900 373 982,https://electricamatanza.cide.net/clientes/pvpc
B02261535,R1-245,DECAIL S.L.,900 102 054,https://decail.cide.net/clientes/pvpc
B41117979,R1-250,"LUZ ELECTRICA LOS MOLARES, SL",900 373 802,https://losmolares.cide.net/clientes/pvpc
B27029503,R1-267,"ELECTRICA DE VER, S.L",900 818 895,https://ver.cide.net/clientes/pvpc
B15749260,R1-277,DISTRIBUIDORA ELECTRICA NIEBLA,900 649 431,https://niebladis.cide.net/clientes/pvpc
B97308522,R1-319,LA SINERQUENSE SLU,900 373 806,https://lasinarquense.cide.net/clientes/pvpc
B31721301,R1-339,ELEKTRA URDAZUBI SL,900 818 894,
B22387591,R1-348,"ELECTRO-HARINERA BELSETANA DISTRIBUCIÓN, SLU",900 373 580,https://belsetana.cide.net/clientes/pvpc
B18326785,R1-198,ELECTRICA SAGRADO CORAZON DE JESUS S.L,900 818 812,https://electricascdj.cide.net/clientes/pvpc
B54859368,R1-159,"ELECTRICA DE BIAR DISTRIBUCIÓN, S.L.U.",900 103 172,https://portal.asemeservicios.com
A41002809,R1-044,COMPAÑIA DE ELECTRICIDAD DEL CONDADO S.A.,900 373 609,https://cecsa.cide.net/clientes/pvpc
B12595724,R1-352,ELECTRICAS HIDROBESORA SL,900 373 365,https://hidrobesora.cide.net/clientes/pvpc
B98145303,R1-358,"ELECTRICAS DE VALLANCA, S.L.",900 373 401,https://vallanca.cide.net/clientes/pvpc
B14273296,R1-086,"CENTRAL ELECTRICA SAN FRANCISCO, S.L.",900 373 892,https://cesfsl.cide.net/clientes/pvpc
B53214227,R1-089,DISTRIBUIDORA ELECTRICA DE  RELLEU S.L.,900 818 709,https://der.cide.net/clientes/pvpc
B23375553,R1-094,ELECTRA SAN CRISTOBAL,900 373 382,https://electrasancristobal.cide.net/clientes/pvpc
A13001474,R1-096,ELECTRICA LA VICTORIA DE FUENCALIENTE S.A.,900 373 809,https://electricalavictoriadefuencaliente.cide.net/clientes/pvpc
B53231189,R1-117,JOSE RIPOLL ALBANELL S.L.,900 818 709,https://jra.cide.net/clientes/pvpc
B41907098,R1-127,JUAN N. DIAZ GALVEZ Y HERMANOS S.L.,900 373 745,https://diazgalvez.cide.net/clientes/pvpc
A18000059,R1-171,SOCIEDAD ELECTRICA JEREZ DEL MARQUESADO,900 373 476,https://jerezdelmarquesado.cide.net/clientes/pvpc
B11694577,R1-177,ELECTRICA LOS LAURELES S.L.,900 373 817,https://electricaloslaureles.cide.net/clientes/pvpc
B18472639,R1-178,"ELECTRICA SAN JOSE OBRERO, S.L",900 818 958,https://electricasanjoseobrerosl.cide.net/clientes/pvpc
A14004998,R1-203,VARGAS Y COMPAÑIA ELECTRO HARINERA SAN RAMON S.A.,900 373 945,https://vargasycia.cide.net/clientes/pvpc
B32159089,R1-220,ELECTRICA DE CANTOÑA S.L.,900 818 846,https://elecanto.cide.net/clientes/pvpc
B31613409,R1-254,ELECTRA SALTEA S.L.U.,900 373 180,https://electrasaltea.cide.net/clientes/pvpc
B81968455,R1-260,"ELECTRA LA HONORINA, S.L.",900 373 791,https://honorina.cide.net/clientes/pvpc
B53515375,R1-293,HIDROELECTRICA COTO MINERO DISTRIBUCION S.L.U.,900 813 745,https://hcotominero.cide.net/clientes/pvpc
B23388200,R1-309,PEDRO SANCHEZ IBAÑEZ S.L.,900 373 856,https://psisl.cide.net/clientes/pvpc
B97706964,R1-335,SERVICIOS Y SUMINISTROS MUNICIPALES DE CHULILLA S.L.,900 818 835,
B95131769,R1-093,"DISTRIBUIDORA DE ELECTRICIDAD LARRAÑAGA, S.L.",900 10 36 27,
B31654288,R1-297,"ELECTRA ORBAICETA, S.L.",900 101 638,
B37297256,R1-130,HIDROELÉCTRICA DE ALARAZ S.L.,900 373 906,https://hidroalaraz.cide.net/clientes/pvpc
B06000418,R1-182,FUENTES Y COMPAÑÍA S.L.,900 818 158,
B46400073,R1-131,"ISMAEL BIOSCA, S.L.",900 373 253,https://ismaelbiosca.cide.net/clientes/pvpc
A14002612,R1-095,ELÉCTRICA BELMEZANA S.A.,900 818 906,https://belmezana.cide.net/clientes/pvpc
B18484063,R1-241,DISTRIBUIDORA DE ENERGÍA ELÉCTRICA TORRECILLAS VIDAL S.L.,900 373 831,https://deetorrecillasvidal.cide.net/clientes/pvpc
B10227957,R1-226,GLORIA MARISCAL S.L.,900 373 501,https://gloriamariscal.cide.net/clientes/pvpc
B82884107,R1-271,DISTRIBUCIÓN ELÉCTRICA DE ALCOLECHA S.L.,900 373 398,https://electricaalcolecha.cide.net/clientes/pvpc
B05149026,R1-135,ELECTRA LA ROSA S.L.,900 818 508,https://elrosa.cide.net/clientes/pvpc
B04299137,R1-228,"Luz De Cela, S.L.",900 818 148,https://luzcela.cide.net/clientes/pvpc
B22216626,R1-344,GESTIÓN DEL SERVICIO ELÉCTRICO HECHO S.L.,900 494 218,https://electricidadhecho.cide.net/clientes/pvpc
B39474150,R1-326,ELECTRA TUDANCA S.L.,900 37 35 20,https://electratudanca.cide.net/clientes/pvpc
B22216220,R1-222,ENERGIAS DE PANTICOSA S.L.,900 373 283,https://energiasdepanticosa.cide.net/clientes/pvpc/index.aspx
B41392457,R1-139,DISTRIBUIDORA DE ELECTRICIDAD MARTOS MARÍN S.L.,900 373 721,https://martosmarin.cide.net/clientes/pvpc
B30569776,R1-077,ELÉCTRICA CORVERA S.L.,900 373 483,https://electricacorvera.cide.net/clientes/pvpc
B02309003,R1-301,"ALARCON NAVARRO EMPRESA ELECTRICA, S.L.",900 801 302,
B31517774,R1-147,ELECTRA JOSE ANTONIO MARTÍNEZ  S.L.U.,900 373 810,https://electramartinez.cide.net/clientes/pvpc
B14068803,R1-233,ELÉCTRICA LATORRE S.L.,900 373 205,https://electricalatorre.cide.net/clientes/pvpc
B06001721,R1-190,SOCIEDAD ELECTRICA DE RIBERA DEL FRESNO SL,900 37 39 46,https://seriberafresno.cide.net/clientes/pvpc
B30057483,R1-119,LEANDRO PÉREZ ALFONSO S.L.,900 373 860,https://leandroperez.cide.net/clientes/pvpc
B10025773,R1-035,"ELECTRICA DEL OESTE DISTRIBUCION, S.L.U.",900 202 125 ,https://portal.eosaenergia.es
B91632190,R1-028,"MEDINA GARVEY ELECTRICIDAD, S.L.U.",900 373 356,https://medinagarvey.cide.net/clientes/pvpc
B06399364,R1-108,ENERGETICA DE ALCOCER SL,900 373 236,https://energeticadealcocer.cide.net/clientes/pvpc
B87313706,R1-317,DISTRIBUCION ELECTRICA DEL TAJUÑA SLU,900 10 20 22,https://portal.asemeservicios.com
B25814724,R1-037,CARDENER DISTRIBUCIO ELECTRICA S.L.U.,900 102 261,https://portal.asemeservicios.com
B98801541,R1-145,DISTRIBUCIÓN ELÉCTRICA DE CALLOSA DE SEGURA SLU,900 649 120,https://portal.asemeservicios.com
B98826936,R1-155,VINALESA DISTRIBUCION DE ENERGIA SL,900 373 267,https://portal.asemeservicios.com
B98194780,R1-157,ELECTRICA DE GUADASSUAR DISTRIBUCION SLU,900 900 298,https://consumos.grupcev.es
B12843967,R1-356,"ELÉCTRICA SERRALLO, S.L.U",900 848 838,http://consumos.grupcev.es
