NIF empresa,Nº de orden,Nombre empresa,Teléfono gratuito incidencias,Portal de medidas
A82683459,R1-023,"HIDROELÉCTRICA DEL GUADIELA I, SA",900 103 326,https://guadieladistribucion.com/
B25470766,R1-325,"EMPRESA MUNICIPAL DE DISTRIBUCIÓ D'ENERGIA ELÈCTRICA D'ALMENAR, SLU",900 730 010,https://portal.asemeservicios.com
B16235947,R1-329,DISTRIBUCIONES ELECTRICAS TALAYUELAS SL,900 373 354,https://consumos.grupcev.es
B24368268,R1-206,"DISTRIBUCIONES ELÉCTRICAS DEL ERIA, SL",900 373 347,https://portal.asemeservicios.com
B24370272,R1-185,DISTRIBUCIONES DE ENERGÍA ELÉCTRICAS DEL NOROESTE SL,900 373 479,https://portal.asemeservicios.com
B17102534,R1-099,"ELECTRICITAT LA AURORA, SLU",900 373 523,http://80.35.34.4/CCH/elasa/
B09386012,R1-298,DISTRIBUIDORA DE ENERGIA ELECTRICA ENERQUINTA SL,900 37 39 34,https://portal.asemeservicios.com
B09349499,R1-208,ENERFRIAS SLU,900 373 409,https://portal.asemeservicios.com
B64376395,R1-336,CATENERIBAS SLU,900 103 118,https://portal.asemeservicios.com
A09023359,R1-193,ELECTRA VALDIVIELSO SAU,900 373 698,https://portal.asemeservicios.com
B25468042,R1-038,ELECTRICA SEROSENSE DISTRIBUIDORA SL,900 373 947,https://serosense.cide.net/clientes/pvpc
B15352362,R1-070,ELECTRA DE CABALAR S.L.,900 834 401,http://www.cabalar.es/clientes/pvpc
B94148418,R1-040,SOCIEDAD ELECTRICISTA DE TUI DISTRIBUIDORA SLU,900 100 202,https://portal.asemeservicios.com
B25672692,R1-347,"ELÈCTRICA SALÀS DE PALLARS, SLU",900 102 617,https://portal.asemeservicios.com
B25025164,R1-065,"ELÉCTRICA DE GUIXÉS, SL",900 101 605,http://www.concentradorsecundario.com/PVPC
B22322986,R1-349,LA CONSTANCIA AREN SL,900 37 34 96,http://arencurvas.portalswitching.com/
B25267220,R1-279,ELECTRICA DEL MONTSEC SL,900 373 975,
B11395175,R1-342,ELECTRICA DE LÍJAR SL,900 373 597,https://portal.asemeservicios.com
B06184790,R1-164,"DISTRIBUCIÓN DE ELECTRICIDAD VALLE DE SANTA ANA, SL",900 202 125 ,https://portal.eosaenergia.es
B98210313,R1-150,"COELCA REDES, S.L.U.",900 373 613,http://consumos.grupcev.es
B14280713,R1-114,ELÉCTRICA HERMANOS CASTRO RODRIGUEZ S.L.,900 373 725,https://114castrorodriguez.cide.net/clientes/pvpc
B12769469,R1-340,"ELECTRICA COSTUR,SL",900 818 582,https://electricacostur.cide.net/clientes/pvpc
B09306267,R1-123,ELECTRA ALVARO DE BENITO SL,900 37 37 96,https://portal.asemeservicios.com
B47456421,R1-259,MUNICIPAL ELECTRICA VILORIA SL,900 37 35 49,https://portal.asemeservicios.com
B07751878,R1-364,"SAMPOL DISTRIBUCIÓN ELÉCTRICA, S.L",900 373 617,https://portal.asemeservicios.com
A15021587,R1-042,UNIÓN DE DISTRIBUIDORES DE ELECTRICIDAD S.A.   -UDESA-,900 649 428,https://www.udesa.net/clientes/pvpc
B25408733,R1-236,"EL PROGRESO DEL PIRINEO, S.L.",900 834 457,https://portal.asemeservicios.com
B37326535,R1-188,ELECTRICIDAD LA ASUNCION SL,900 37 38 64,https://portal.asemeservicios.com
A44138378,R1-179,"ARAGONESA DE ACTIVIDADES ENERGETICAS, S.A.",900 848 900,https://zonaprivada.edistribucion.com/areaprivada
A47408851,R1-192,ELECTRO DISTRIBUIDORA CASTELLANO-LEONESA SA,900 103 163,http://www.edicalsa.es/consumidor
B12942397,R1-017,MAESTRAZGO DISTRIBUCION ELECTRICA SL,900 373 285,https://portal.asemeservicios.com
B33089202,R1-172,SUMINISTROS ELECTRICOS AMIEVA SL,900 37 34 19,https://portal.asemeservicios.com
B22258123,R1-361,DISTRIBUCIONES ELECTRICAS GISTAIN S.L.,900 809 506,
B47447875,R1-043,ANSELMO LEON-DISTRIBUCION SL,900 922 559,https://www.anselmoleon.es/consumidor
B05165394,R1-261,ELECTRA SAN BARTOLOME SL,900 37 33 52,https://portal.asemeservicios.com
B47413232,R1-284,AFRODISIO PASCUAL ALONSO SL,900 37 36 83,https://apasa.cide.net/clientes/pvpc
A25002791,R1-202,"MOLINO VIEJO DE VILALLER, S.A.",900 834 448,http://www.concentradorsecundario.com/PVPC
B02229144,R1-197,"EBROFANAS, S.L.",900 845 022,http://concentradorsecundario.com/Account/Login
B15644172,R1-204,ELECTRA DE SANTA COMBA SL,900 649 432,https://electrasc.net/clientes/pvpc/index
B06278469,R1-031,DISTRIBUIDORA DE ENERGIA ELECTRICA ENRIQUE GARCIA SERRANO SL,900 10 31 67,http://www.deegs.es/consumidor
B37420999,R1-216,DISTRIBUIDORA ELECTRICA NAVASFRIAS SL,900 103 155,http://www.electricanavasfrias.es/consumidor
B25391145,R1-274,ELEC VALL DE BOI,900 809 503,http://concentradorsecundario.com/pvpc
B02308302,R1-291,EMPRESA ELECTRICA DE JORQUERA SL,900 373 786,http://concentradorsecundario.com/Account/Login
A58382631,R1-107,"DISTRIBUIDORA DE ENERGÍA ELÉCTRICA DEL BAGES, S.A.",800 760 706,https://zonaprivada.edistribucion.com/areaprivada
A17036369,R1-176,ELECTRICA DE JAFRE,800 760 706,https://zonaprivada.edistribucion.com/areaprivada
B25479346,R1-305,SOCIETAT MUNICIPAL DISTRIBUIDORA ELÈCTRICA DE LLAVORSÍ S.L.,900 103 248,
B22247191,R1-362,ENERGÍAS DEL ZINQUETA S.L.,900 834 462,http://www.concentradorsecundario.com/PVPC
A08049306,R1-019,ELECTRICA DEL EBRO SA,800 760 706,https://zonaprivada.edistribucion.com/areaprivada
B02375335,R1-330,EMPRESA ELECTRICA DEL CABRIEL SL,900 103 105,https://www.elcabriel.es/consumidor
B34173757,R1-265,HEREDEROS DE MARIA ALONSO CALZADA-VENTADE BAÑOS SL,900 501 052,http://www.hmac.es/consumidor
B24299851,R1-103,SAN CIPRIANO DE RUEDA DISTRIBUCIÓN SL,900 103 163,http://www.hsancipriano.es/consumidor
B81997439,R1-058,HIDROELECTRICA DE SILLEDA SL,900 103 325,http://www.hidroelectricasilleda.com/clientes/pvpc/index
A15011661,R1-072,ELECTRA DEL NARAHIO SA,900 373 832,http://www.narahio.com/clientes/pvpc
B60375615,R1-218,"HIDROELECTRICA DE CATALUNYA, S.L.",800 760 706,https://zonaprivada.edistribucion.com/areaprivada
A78302247,R1-115,HIDROELECTRICA VEGA SA,900 818 908,https://hidroelectricavega.cide.net/clientes/pvpc
A12567384,R1-300,"ELÉCTRICAS DE VILLAHERMOSA,S.A.",900 834 923,http://www.sigeenergia.com
B11719911,R1-272,LUZ ELECTRICA DE ALGAR SL,900 373 972,https://luzelectricadealgar.cide.net/clientes/pvpc
B62781455,R1-304,"HIDROFLAMICELL, S.L.",800 760 706,https://zonaprivada.edistribucion.com/areaprivada
B06337919,R1-264,ELECTRICA SANTA MARTA Y VILLALBA SL,900 818 892,https://electricasantamarta.cide.net/clientes/pvpc
B25583147,R1-337,"SOCIETAT MUNICIPAL DE DISTRIBUCIÓ ELECTRICA DE TIRVIA, S.L.",900 373 916,https://portal.asemeservicios.com
A48010433,R1-120,SOCIEDAD DISTRIBUIDORA DE ELECTRICIDAD DE ELORRIO SA,900 103 207,http://www.sdelorrio.es/consumidor
B09570391,R1-090,ADURIZ DISTRIBUCION SL,900 373 098,https://portalconsumidores.aduriz.es/authentication/login
B06365399,R1-345,ALCONERA DE ELECTRICIDAD SL,900 37 35 43,https://alconeradeelectricidad.cide.net/clientes/pvpc
B11026085,R1-191,"ALSET ELÉCTRICA, S.L.",900 373 497,https://alset.cide.net/clientes/pvpc
B13277868,R1-184,"ANTOLINA RUIZ RUIZ, S.L.",900 373 367,https://antolinaruiz.cide.net/clientes/pvpc
A01312479,R1-302,ARAMAIOKO ARGINDAR BANATZAILEA SA,900 373 551,https://aabsa.cide.net/clientes/pvpc
A31000094,R1-083,BERRUEZA SA,900 373 108,https://diselcideberrueza.cide.net/clientes/pvpc
B41021049,R1-084,BLAZQUEZ SL,900 373 697,https://empresasblazquez.cide.net/clientes/pvpc
B02246833,R1-307,CENTRAL ELECTRICA DE POZO LORENTE SL,900 818 905,https://centralelectricadepozolorente.cide.net/clientes/pvpc
B41152166,R1-210,CENTRAL ELECTRICA SAN ANTONIO SL,900 37 33 84,https://cesa.cide.net/clientes/pvpc
A36000016,R1-022,CENTRAL ELECTRICA SESTELO Y COMPAÑIA SA,900 373 316,https://sestelo.cide.net/
B13267471,R1-180,"C. MARCIAL CHACON E HIJOS, S.L.",900 373 392,https://marcialchaconehijos.cide.net/clientes/pvpc
B02262186,R1-253,COMPAÑIA ELECTRICA DE FEREZ SL,900 81 88 49,https://ciaelectricadeferez.cide.net/clientes/pvpc
B53255360,R1-162,DELGICHI . SL,900 373 911,https://delgichi.cide.net/clientes/pvpc
B14427686,R1-106,DIELENOR SL,900 373 658,https://dielenor.cide.net/clientes/pvpc
B19154707,R1-087,DIST. ELECTRICA LAS MERCEDES S.L.,900 813 745,https://delm.cide.net/clientes/pvpc
B53267050,R1-240,DISTRIBUCION DE ENERGIA ELECTRICA DE PARCENT SL,900 373 394,https://deeparcent.cide.net/clientes/pvpc
B18472902,R1-288,DISTRIBUCIONES ALNEGA SL,900 373 624,https://distribucionesalnega.cide.net/clientes/pvpc
A02322154,R1-286,"DISTRIBUCIONES ELÉCTRICAS DE POZUELO, S.A.",900 373 631,https://electricadepozuelo.cide.net/clientes/pvpc
B04158739,R1-175,DISTRIBUCIONES ELECTRICAS PORTILLO SL,900 373 502,https://portillo.cide.net/clientes/pvpc
B18045666,R1-036,DISTRIBUIDORA ELECTRICA BERMEJALES SL,900 373 813,https://bermejales.cide.net/clientes/pvpc
B02261667,R1-200,DISTRIBUIDORA ELECTRICA BRAVO SAEZ SL,900 373 857,https://electricabravosaez.cide.net/clientes/pvpc
B29224003,R1-112,DISTRIBUIDORA ELECTRICA DE ARDALES SL,900 373 385,https://electricardales.cide.net/clientes/pvpc
A02321768,R1-287,"DISTRIBUIDORA ELÉCTRICA DE CASAS DE LAZARO, S.A.",900 818 891,https://electricadecasasdelazaro.cide.net/clientes/pvpc
B29894789,R1-122,DISTRIBUIDORA ELECTRICA DE GAUCIN SL,900 37 35 09,https://electricagaucin.cide.net/clientes/pvpc
B41030891,R1-165,DISTRIBUIDORA ELECTRICA DE GRANJA DE TORREHERMOSA SL,900 373 627,https://distribuidoraelectricagranja.cide.net/clientes/pvpc
B31665946,R1-207,DISTRIBUIDORA ELECTRICA ISABA SL,900 37 38 20,https://distribuidoraelectricaisaba.cide.net/clientes/pvpc
B22215651,R1-350,DISTRIBUIDORA ELECTRICA VALLE DE ANSO SL,900 373 963,https://valledeanso.cide.net/clientes/pvpc
A21002142,R1-092,ELECTRA CASTILLEJENSE SA,900 373 746,https://electracastillejense.cide.net/clientes/pvpc
B11382769,R1-174,ELECTRA CONILENSE  S.L.U.,900 373 531,https://electraconilense.cide.net/clientes/pvpc
B36302982,R1-073,ELECTRA DE BARCIADEMERA SL,900 373 316,https://barciademera.cide.net/clientes/pvpc
B23375785,R1-134,ELECTRA LA LOMA SL,900 373 206,https://electralaloma.cide.net/clientes/pvpc
B71308803,R1-232,"ELECTRA VALDIZARBE DISTRIBUCIÓN, S.L.U.",900 373 974,https://electravaldizarbe.cide.net/clientes/pvpc
B02172948,R1-195,ELECTRICA ABENGIBRENSE DISTRIBUCION S.L,900 818 611,https://electricaabengibrense.cide.net/clientes/pvpc
A02000164,R1-024,COOPERATIVA ELECTRICA ALBORENSE SA,900 373 672,https://alborense.cide.net/
B24258220,R1-124,ELECTRICA CAMPOSUR SL,900 373 209,https://diselcideelectricacamposur.cide.net/clientes/pvpc
A32025199,R1-290,ELECTRICA DE ALBERGUERIA SA,900 373 803,https://electricadealbergueria.cide.net/clientes/pvpc
B22216683,R1-156,ELECTRICA DE DURRO S.L.,900 37 37 28,https://durro.cide.net/clientes/pvpc
B06355846,R1-357,ELECTRICA DE MALCOCINADO SL,900 373 928,https://electricademalcocinado.cide.net/clientes/pvpc
B37336849,R1-215,ELECTRICA DEL HUEBRA SL,900 373 590,https://electricahuebra.cide.net/clientes/pvpc
B91068429,R1-221,ELECTRICA GILENA SLU,900 818 164,https://electricagilena.cide.net/clientes/pvpc
B18000224,R1-262,ELECTRICA GUADALFEO SL,900 373 813,https://guadalfeo.cide.net/clientes/pvpc
A14004006,R1-097,ELECTRICA LOS PELAYOS SA,900 373 317,https://097pelayos.cide.net/clientes/pvpc
B13304860,R1-217,ELECTRICA MESTANZA RV SL,900 37 33 18,https://electricamestanza.cide.net/clientes/pvpc
B37336831,R1-181,ELECTRICA MORO BENITO SL,900 373 638,https://electricamorobenito.cide.net/clientes/pvpc
B18057208,R1-136,ELECTRICA SAN GREGORIO SL,900 373 813,https://sangregorio.cide.net/clientes/pvpc
B18471946,R1-229,ELECTRICA SAN MARCOS SL,900 373 624,https://electricasanmarcos.cide.net/clientes/pvpc
B06280390,R1-132,ELECTRICA SAN SERVAN SL,900 373 804,https://electricasanservan.cide.net/clientes/pvpc
B41904657,R1-166,ELECTRICA SANTA CLARA SL,900 373 069,https://electricasantaclara.cide.net/clientes/pvpc
B06281497,R1-255,ELECTRICAS SANTA LEONOR SL,900 373 178,https://electricassantaleonor.cide.net/clientes/pvpc
B98039928,R1-346,ELECTRICAS TUEJAR SL,900 373 402,https://tuejar.cide.net/clientes/pvpc
B04269908,R1-148,ELECTRICIDAD PASTOR SL,900 373 378,https://elpastor.cide.net/clientes/pvpc
A13000385,R1-100,ELECTRO DISTRIBUCION DE ALMODOVAR DEL CAMPO SA,900 373 782,https://electrodistribucion.cide.net/clientes/pvpc
B32397358,R1-359,ELECTRO MANZANEDA SL,900 907 143,https://electromanzaneda.cide.net/clientes/pvpc
B24015323,R1-101,ELECTRO MOLINERA DE VALMADRIGAL SL,900 373 106,https://diselcideelectromolinera.cide.net/clientes/pvpc
